Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,518.55,334507.69,1145800.00,161,63,0,191,0,120,0,81,8,0.8307040105934587,672
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,172176.82,112970.80,1089000.00,177,0,134,0,82,0,71,0,9,0.8544052568536454,600
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,565.47,208592.45,1138100.00,137,58,0,159,0,87,0,75,8,0.8534253728690893,600
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,1139.28,159738.71,1106000.00,152,72,0,199,0,54,0,67,7,0.8385515271536745,552
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,1272.10,128641.34,1358700.00,98,28,0,103,0,105,0,61,10,0.819933773573184,660
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,6087.62,728248.87,1381600.00,47,128,0,132,0,112,0,61,7,0.8300486515001166,636
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,1271693.42,0.00,0,196,0,48,0,259,0,51,1,2.0521461248204775,168
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,34796.85,3931.42,21000.00,24,0,0,0,7,0,5,0,1,0.0,96
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,838002.23,85477.78,368250.00,306,0,783,0,549,0,177,0,14,0.7636791908816789,1536
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,7586769.95,487924.89,673000.00,1098,0,458,0,2609,0,305,0,35,0.8263650072708283,2736
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,19942.69,5372618.36,11629700.00,1122,291,0,1258,0,2720,0,737,89,0.8559921325382626,6840
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,3267646.94,1599453.82,11178000.00,1303,0,1232,0,1609,0,635,0,88,0.8433290250065424,6216
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,11295.50,4007908.11,13056800.00,1152,262,0,1284,0,1924,0,719,88,0.847163437627286,6900
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,23888.50,4484370.63,13316000.00,1048,286,0,1177,0,2216,0,666,87,0.8349762164431236,6684
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,23180.84,4277247.74,13345500.00,1069,250,0,1203,0,1903,0,693,88,0.820593821685762,6420
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,56957.04,4569690.95,14834600.00,550,749,0,1067,0,2356,0,706,90,0.8188833575121118,6816
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,15717051.06,0.00,0,3080,0,2992,0,4068,0,514,5,1.8281682706444233,1884
